district,date,month,year,visitors
Adilabad,01-01-2018,January,2018,0
Adilabad,01-02-2018,February,2018,0
Adilabad,01-03-2018,March,2018,0
Adilabad,01-04-2018,April,2018,0
Adilabad,01-05-2018,May,2018,0
Adilabad,01-06-2018,June,2018,0
Adilabad,01-07-2018,July,2018,2
Adilabad,01-08-2018,August,2018,3
Adilabad,01-09-2018,September,2018,0
Adilabad,01-10-2018,October,2018,0
Adilabad,01-11-2018,November,2018,0
Adilabad,01-12-2018,December,2018,0
Bhadradri Kothagudem ,01-01-2018,January,2018,0
Bhadradri Kothagudem ,01-02-2018,February,2018,0
Bhadradri Kothagudem ,01-03-2018,March,2018,0
Bhadradri Kothagudem ,01-04-2018,April,2018,0
Bhadradri Kothagudem ,01-05-2018,May,2018,0
Bhadradri Kothagudem ,01-06-2018,June,2018,0
Bhadradri Kothagudem ,01-07-2018,July,2018,0
Bhadradri Kothagudem ,01-08-2018,August,2018,0
Bhadradri Kothagudem ,01-09-2018,September,2018,0
Bhadradri Kothagudem ,01-10-2018,October,2018,0
Bhadradri Kothagudem ,01-11-2018,November,2018,0
Bhadradri Kothagudem ,01-12-2018,December,2018,0
Hyderabad,01-01-2018,January,2018,35379
Hyderabad,01-02-2018,February,2018,30414
Hyderabad,01-03-2018,March,2018,27535
Hyderabad,01-04-2018,April,2018,20830
Hyderabad,01-05-2018,May,2018,21554
Hyderabad,01-06-2018,June,2018,24677
Hyderabad,01-07-2018,July,2018,17456
Hyderabad,01-08-2018,August,2018,31217
Hyderabad,01-09-2018,September,2018,22809
Hyderabad,01-10-2018,October,2018,30072
Hyderabad,01-11-2018,November,2018,23487
Hyderabad,01-12-2018,December,2018,29358
Jagtial ,01-01-2018,January,2018,0
Jagtial ,01-02-2018,February,2018,0
Jagtial ,01-03-2018,March,2018,0
Jagtial ,01-04-2018,April,2018,0
Jagtial ,01-05-2018,May,2018,0
Jagtial ,01-06-2018,June,2018,0
Jagtial ,01-07-2018,July,2018,0
Jagtial ,01-08-2018,August,2018,0
Jagtial ,01-09-2018,September,2018,0
Jagtial ,01-10-2018,October,2018,0
Jagtial ,01-11-2018,November,2018,0
Jagtial ,01-12-2018,December,2018,0
Jangaon ,01-01-2018,January,2018,0
Jangaon ,01-02-2018,February,2018,0
Jangaon ,01-03-2018,March,2018,0
Jangaon ,01-04-2018,April,2018,0
Jangaon ,01-05-2018,May,2018,0
Jangaon ,01-06-2018,June,2018,0
Jangaon ,01-07-2018,July,2018,0
Jangaon ,01-08-2018,August,2018,0
Jangaon ,01-09-2018,September,2018,0
Jangaon ,01-10-2018,October,2018,0
Jangaon ,01-11-2018,November,2018,0
Jangaon ,01-12-2018,December,2018,0
Jayashankar Bhoopalpally,01-01-2018,January,2018,50
Jayashankar Bhoopalpally,01-02-2018,February,2018,60
Jayashankar Bhoopalpally,01-03-2018,March,2018,70
Jayashankar Bhoopalpally,01-04-2018,April,2018,45
Jayashankar Bhoopalpally,01-05-2018,May,2018,40
Jayashankar Bhoopalpally,01-06-2018,June,2018,35
Jayashankar Bhoopalpally,01-07-2018,July,2018,40
Jayashankar Bhoopalpally,01-08-2018,August,2018,35
Jayashankar Bhoopalpally,01-09-2018,September,2018,40
Jayashankar Bhoopalpally,01-10-2018,October,2018,40
Jayashankar Bhoopalpally,01-11-2018,November,2018,40
Jayashankar Bhoopalpally,01-12-2018,December,2018,44
Jogulamba Gadwal ,01-01-2018,January,2018,36
Jogulamba Gadwal ,01-02-2018,February,2018,6
Jogulamba Gadwal ,01-03-2018,March,2018,22
Jogulamba Gadwal ,01-04-2018,April,2018,15
Jogulamba Gadwal ,01-05-2018,May,2018,19
Jogulamba Gadwal ,01-06-2018,June,2018,19
Jogulamba Gadwal ,01-07-2018,July,2018,37
Jogulamba Gadwal ,01-08-2018,August,2018,42
Jogulamba Gadwal ,01-09-2018,September,2018,35
Jogulamba Gadwal ,01-10-2018,October,2018,13
Jogulamba Gadwal ,01-11-2018,November,2018,45
Jogulamba Gadwal ,01-12-2018,December,2018,11
Kamareddy ,01-01-2018,January,2018,0
Kamareddy ,01-02-2018,February,2018,0
Kamareddy ,01-03-2018,March,2018,0
Kamareddy ,01-04-2018,April,2018,0
Kamareddy ,01-05-2018,May,2018,0
Kamareddy ,01-06-2018,June,2018,0
Kamareddy ,01-07-2018,July,2018,0
Kamareddy ,01-08-2018,August,2018, 
Kamareddy ,01-09-2018,September,2018, 
Kamareddy ,01-10-2018,October,2018,0
Kamareddy ,01-11-2018,November,2018,0
Kamareddy ,01-12-2018,December,2018,0
Karimnagar ,01-01-2018,January,2018,0
Karimnagar ,01-02-2018,February,2018,0
Karimnagar ,01-03-2018,March,2018,0
Karimnagar ,01-04-2018,April,2018,0
Karimnagar ,01-05-2018,May,2018,0
Karimnagar ,01-06-2018,June,2018,0
Karimnagar ,01-07-2018,July,2018,0
Karimnagar ,01-08-2018,August,2018,0
Karimnagar ,01-09-2018,September,2018,0
Karimnagar ,01-10-2018,October,2018,0
Karimnagar ,01-11-2018,November,2018,0
Karimnagar ,01-12-2018,December,2018,0
Khammam,01-01-2018,January,2018,0
Khammam,01-02-2018,February,2018,0
Khammam,01-03-2018,March,2018,0
Khammam,01-04-2018,April,2018,0
Khammam,01-05-2018,May,2018,0
Khammam,01-06-2018,June,2018,0
Khammam,01-07-2018,July,2018,0
Khammam,01-08-2018,August,2018,0
Khammam,01-09-2018,September,2018,0
Khammam,01-10-2018,October,2018,0
Khammam,01-11-2018,November,2018,0
Khammam,01-12-2018,December,2018,0
Komaram Bheem Asifabad,01-01-2018,January,2018,0
Komaram Bheem Asifabad,01-02-2018,February,2018,0
Komaram Bheem Asifabad,01-03-2018,March,2018,0
Komaram Bheem Asifabad,01-04-2018,April,2018,0
Komaram Bheem Asifabad,01-05-2018,May,2018,0
Komaram Bheem Asifabad,01-06-2018,June,2018,0
Komaram Bheem Asifabad,01-07-2018,July,2018,0
Komaram Bheem Asifabad,01-08-2018,August,2018,0
Komaram Bheem Asifabad,01-09-2018,September,2018,0
Komaram Bheem Asifabad,01-10-2018,October,2018,0
Komaram Bheem Asifabad,01-11-2018,November,2018,0
Komaram Bheem Asifabad,01-12-2018,December,2018,0
Mahabubabad ,01-01-2018,January,2018,0
Mahabubabad ,01-02-2018,February,2018,0
Mahabubabad ,01-03-2018,March,2018,0
Mahabubabad ,01-04-2018,April,2018,0
Mahabubabad ,01-05-2018,May,2018,0
Mahabubabad ,01-06-2018,June,2018,0
Mahabubabad ,01-07-2018,July,2018,0
Mahabubabad ,01-08-2018,August,2018,0
Mahabubabad ,01-09-2018,September,2018,0
Mahabubabad ,01-10-2018,October,2018,0
Mahabubabad ,01-11-2018,November,2018,0
Mahabubabad ,01-12-2018,December,2018,0
Mahbubnagar,01-01-2018,January,2018,45
Mahbubnagar,01-02-2018,February,2018,29
Mahbubnagar,01-03-2018,March,2018,28
Mahbubnagar,01-04-2018,April,2018,26
Mahbubnagar,01-05-2018,May,2018,26
Mahbubnagar,01-06-2018,June,2018,26
Mahbubnagar,01-07-2018,July,2018,47
Mahbubnagar,01-08-2018,August,2018,44
Mahbubnagar,01-09-2018,September,2018,52
Mahbubnagar,01-10-2018,October,2018,37
Mahbubnagar,01-11-2018,November,2018,68
Mahbubnagar,01-12-2018,December,2018,26
Mancherial,01-01-2018,January,2018,0
Mancherial,01-02-2018,February,2018,0
Mancherial,01-03-2018,March,2018,0
Mancherial,01-04-2018,April,2018,0
Mancherial,01-05-2018,May,2018,0
Mancherial,01-06-2018,June,2018,0
Mancherial,01-07-2018,July,2018,0
Mancherial,01-08-2018,August,2018,0
Mancherial,01-09-2018,September,2018,0
Mancherial,01-10-2018,October,2018,0
Mancherial,01-11-2018,November,2018,0
Mancherial,01-12-2018,December,2018,0
Medak ,01-01-2018,January,2018,0
Medak ,01-02-2018,February,2018,0
Medak ,01-03-2018,March,2018,0
Medak ,01-04-2018,April,2018,0
Medak ,01-05-2018,May,2018,0
Medak ,01-06-2018,June,2018,0
Medak ,01-07-2018,July,2018,0
Medak ,01-08-2018,August,2018,0
Medak ,01-09-2018,September,2018,0
Medak ,01-10-2018,October,2018,0
Medak ,01-11-2018,November,2018,0
Medak ,01-12-2018,December,2018,0
Medchal ,01-01-2018,January,2018, 
Medchal ,01-02-2018,February,2018, 
Medchal ,01-03-2018,March,2018, 
Medchal ,01-04-2018,April,2018, 
Medchal ,01-05-2018,May,2018, 
Medchal ,01-06-2018,June,2018, 
Medchal ,01-07-2018,July,2018, 
Medchal ,01-08-2018,August,2018, 
Medchal ,01-09-2018,September,2018, 
Medchal ,01-10-2018,October,2018, 
Medchal ,01-11-2018,November,2018, 
Medchal ,01-12-2018,December,2018, 
Nagarkurnool ,01-01-2018,January,2018,35
Nagarkurnool ,01-02-2018,February,2018,15
Nagarkurnool ,01-03-2018,March,2018,14
Nagarkurnool ,01-04-2018,April,2018,15
Nagarkurnool ,01-05-2018,May,2018,19
Nagarkurnool ,01-06-2018,June,2018,15
Nagarkurnool ,01-07-2018,July,2018,17
Nagarkurnool ,01-08-2018,August,2018,22
Nagarkurnool ,01-09-2018,September,2018,22
Nagarkurnool ,01-10-2018,October,2018,8
Nagarkurnool ,01-11-2018,November,2018,30
Nagarkurnool ,01-12-2018,December,2018,10
Nalgonda,01-01-2018,January,2018,0
Nalgonda,01-02-2018,February,2018,0
Nalgonda,01-03-2018,March,2018,0
Nalgonda,01-04-2018,April,2018,0
Nalgonda,01-05-2018,May,2018,0
Nalgonda,01-06-2018,June,2018,0
Nalgonda,01-07-2018,July,2018,0
Nalgonda,01-08-2018,August,2018,0
Nalgonda,01-09-2018,September,2018,0
Nalgonda,01-10-2018,October,2018,0
Nalgonda,01-11-2018,November,2018,0
Nalgonda,01-12-2018,December,2018,0
Nirmal,01-01-2018,January,2018,0
Nirmal,01-02-2018,February,2018,0
Nirmal,01-03-2018,March,2018,0
Nirmal,01-04-2018,April,2018,0
Nirmal,01-05-2018,May,2018,0
Nirmal,01-06-2018,June,2018,0
Nirmal,01-07-2018,July,2018,0
Nirmal,01-08-2018,August,2018,2
Nirmal,01-09-2018,September,2018,0
Nirmal,01-10-2018,October,2018,0
Nirmal,01-11-2018,November,2018,0
Nirmal,01-12-2018,December,2018,0
Nizamabad,01-01-2018,January,2018,1
Nizamabad,01-02-2018,February,2018,0
Nizamabad,01-03-2018,March,2018,0
Nizamabad,01-04-2018,April,2018,0
Nizamabad,01-05-2018,May,2018,0
Nizamabad,01-06-2018,June,2018,0
Nizamabad,01-07-2018,July,2018,1
Nizamabad,01-08-2018,August,2018,0
Nizamabad,01-09-2018,September,2018,0
Nizamabad,01-10-2018,October,2018,0
Nizamabad,01-11-2018,November,2018,0
Nizamabad,01-12-2018,December,2018,0
Peddapalli,01-01-2018,January,2018,0
Peddapalli,01-02-2018,February,2018,0
Peddapalli,01-03-2018,March,2018,0
Peddapalli,01-04-2018,April,2018,0
Peddapalli,01-05-2018,May,2018,0
Peddapalli,01-06-2018,June,2018,0
Peddapalli,01-07-2018,July,2018,0
Peddapalli,01-08-2018,August,2018,0
Peddapalli,01-09-2018,September,2018,0
Peddapalli,01-10-2018,October,2018,0
Peddapalli,01-11-2018,November,2018,0
Peddapalli,01-12-2018,December,2018,0
Rajanna Sircilla ,01-01-2018,January,2018,0
Rajanna Sircilla ,01-02-2018,February,2018,0
Rajanna Sircilla ,01-03-2018,March,2018,0
Rajanna Sircilla ,01-04-2018,April,2018,0
Rajanna Sircilla ,01-05-2018,May,2018,0
Rajanna Sircilla ,01-06-2018,June,2018,0
Rajanna Sircilla ,01-07-2018,July,2018,0
Rajanna Sircilla ,01-08-2018,August,2018,0
Rajanna Sircilla ,01-09-2018,September,2018,0
Rajanna Sircilla ,01-10-2018,October,2018,0
Rajanna Sircilla ,01-11-2018,November,2018,0
Rajanna Sircilla ,01-12-2018,December,2018,0
Ranga Reddy,01-01-2018,January,2018, 
Ranga Reddy,01-02-2018,February,2018, 
Ranga Reddy,01-03-2018,March,2018, 
Ranga Reddy,01-04-2018,April,2018, 
Ranga Reddy,01-05-2018,May,2018, 
Ranga Reddy,01-06-2018,June,2018, 
Ranga Reddy,01-07-2018,July,2018, 
Ranga Reddy,01-08-2018,August,2018, 
Ranga Reddy,01-09-2018,September,2018, 
Ranga Reddy,01-10-2018,October,2018, 
Ranga Reddy,01-11-2018,November,2018, 
Ranga Reddy,01-12-2018,December,2018, 
Sangareddy ,01-01-2018,January,2018,0
Sangareddy ,01-02-2018,February,2018,0
Sangareddy ,01-03-2018,March,2018,0
Sangareddy ,01-04-2018,April,2018,0
Sangareddy ,01-05-2018,May,2018,0
Sangareddy ,01-06-2018,June,2018,0
Sangareddy ,01-07-2018,July,2018,0
Sangareddy ,01-08-2018,August,2018,0
Sangareddy ,01-09-2018,September,2018,0
Sangareddy ,01-10-2018,October,2018,0
Sangareddy ,01-11-2018,November,2018,0
Sangareddy ,01-12-2018,December,2018,0
Siddipet,01-01-2018,January,2018,0
Siddipet,01-02-2018,February,2018,0
Siddipet,01-03-2018,March,2018,0
Siddipet,01-04-2018,April,2018,0
Siddipet,01-05-2018,May,2018,0
Siddipet,01-06-2018,June,2018,0
Siddipet,01-07-2018,July,2018,0
