district,date,month,year,visitors
Adilabad,01-01-2017,January,2017,5
Adilabad,01-02-2017,February,2017,0
Adilabad,01-03-2017,March,2017,0
Adilabad,01-04-2017,April,2017,0
Adilabad,01-05-2017,May,2017,0
Adilabad,01-06-2017,June,2017,3
Adilabad,01-07-2017,July,2017,0
Adilabad,01-08-2017,August,2017,0
Adilabad,01-09-2017,September,2017,3
Adilabad,01-10-2017,October,2017,0
Adilabad,01-11-2017,November,2017,0
Adilabad,01-12-2017,December,2017,0
Bhadradri Kothagudem ,01-01-2017,January,2017,0
Bhadradri Kothagudem ,01-02-2017,February,2017,0
Bhadradri Kothagudem ,01-03-2017,March,2017,0
Bhadradri Kothagudem ,01-04-2017,April,2017,0
Bhadradri Kothagudem ,01-05-2017,May,2017,0
Bhadradri Kothagudem ,01-06-2017,June,2017,0
Bhadradri Kothagudem ,01-07-2017,July,2017,0
Bhadradri Kothagudem ,01-08-2017,August,2017,0
Bhadradri Kothagudem ,01-09-2017,September,2017,0
Bhadradri Kothagudem ,01-10-2017,October,2017,0
Bhadradri Kothagudem ,01-11-2017,November,2017,0
Bhadradri Kothagudem ,01-12-2017,December,2017,0
Hyderabad,01-01-2017,January,2017,19286
Hyderabad,01-02-2017,February,2017,18097
Hyderabad,01-03-2017,March,2017,13875
Hyderabad,01-04-2017,April,2017,12996
Hyderabad,01-05-2017,May,2017,12983
Hyderabad,01-06-2017,June,2017,12486
Hyderabad,01-07-2017,July,2017,18144
Hyderabad,01-08-2017,August,2017,16985
Hyderabad,01-09-2017,September,2017,27856
Hyderabad,01-10-2017,October,2017,26368
Hyderabad,01-11-2017,November,2017,29170
Hyderabad,01-12-2017,December,2017,38933
Jagtial ,01-01-2017,January,2017,0
Jagtial ,01-02-2017,February,2017,0
Jagtial ,01-03-2017,March,2017,0
Jagtial ,01-04-2017,April,2017,0
Jagtial ,01-05-2017,May,2017,0
Jagtial ,01-06-2017,June,2017,0
Jagtial ,01-07-2017,July,2017,0
Jagtial ,01-08-2017,August,2017,0
Jagtial ,01-09-2017,September,2017,0
Jagtial ,01-10-2017,October,2017,0
Jagtial ,01-11-2017,November,2017,0
Jagtial ,01-12-2017,December,2017,0
Jangaon ,01-01-2017,January,2017,0
Jangaon ,01-02-2017,February,2017,0
Jangaon ,01-03-2017,March,2017,0
Jangaon ,01-04-2017,April,2017,0
Jangaon ,01-05-2017,May,2017,0
Jangaon ,01-06-2017,June,2017,0
Jangaon ,01-07-2017,July,2017,0
Jangaon ,01-08-2017,August,2017,0
Jangaon ,01-09-2017,September,2017,0
Jangaon ,01-10-2017,October,2017,0
Jangaon ,01-11-2017,November,2017,0
Jangaon ,01-12-2017,December,2017,0
Jayashankar Bhoopalpally,01-01-2017,January,2017,85
Jayashankar Bhoopalpally,01-02-2017,February,2017,38
Jayashankar Bhoopalpally,01-03-2017,March,2017,35
Jayashankar Bhoopalpally,01-04-2017,April,2017,36
Jayashankar Bhoopalpally,01-05-2017,May,2017,40
Jayashankar Bhoopalpally,01-06-2017,June,2017,35
Jayashankar Bhoopalpally,01-07-2017,July,2017,42
Jayashankar Bhoopalpally,01-08-2017,August,2017,45
Jayashankar Bhoopalpally,01-09-2017,September,2017,56
Jayashankar Bhoopalpally,01-10-2017,October,2017,55
Jayashankar Bhoopalpally,01-11-2017,November,2017,58
Jayashankar Bhoopalpally,01-12-2017,December,2017,57
Jogulamba Gadwal ,01-01-2017,January,2017,20
Jogulamba Gadwal ,01-02-2017,February,2017,16
Jogulamba Gadwal ,01-03-2017,March,2017,32
Jogulamba Gadwal ,01-04-2017,April,2017,29
Jogulamba Gadwal ,01-05-2017,May,2017,31
Jogulamba Gadwal ,01-06-2017,June,2017,32
Jogulamba Gadwal ,01-07-2017,July,2017,34
Jogulamba Gadwal ,01-08-2017,August,2017,25
Jogulamba Gadwal ,01-09-2017,September,2017,42
Jogulamba Gadwal ,01-10-2017,October,2017,13
Jogulamba Gadwal ,01-11-2017,November,2017,21
